saved checkpoint at i=100, val_loss=2.16
saved checkpoint at i=200, val_loss=1.87
saved checkpoint at i=300, val_loss=1.79
saved checkpoint at i=400, val_loss=1.77
saved checkpoint at i=500, val_loss=1.76
saved checkpoint at i=700, val_loss=1.74
saved checkpoint at i=800, val_loss=1.71
saved checkpoint at i=900, val_loss=1.70
saved checkpoint at i=1000, val_loss=1.67
saved checkpoint at i=1200, val_loss=1.66
saved checkpoint at i=1300, val_loss=1.65
saved checkpoint at i=1400, val_loss=1.63
saved checkpoint at i=1500, val_loss=1.63
saved checkpoint at i=1600, val_loss=1.62
saved checkpoint at i=1800, val_loss=1.62
saved checkpoint at i=1900, val_loss=1.61
saved checkpoint at i=2000, val_loss=1.56
saved checkpoint at i=2100, val_loss=1.41
saved checkpoint at i=2200, val_loss=1.36
saved checkpoint at i=2400, val_loss=1.34
saved checkpoint at i=2500, val_loss=1.32
