
saved checkpoint at i=100, val_loss=1.83
saved checkpoint at i=200, val_loss=1.58
saved checkpoint at i=300, val_loss=1.53
saved checkpoint at i=400, val_loss=1.52
saved checkpoint at i=500, val_loss=1.51
saved checkpoint at i=800, val_loss=1.47
saved checkpoint at i=900, val_loss=1.46
saved checkpoint at i=1000, val_loss=1.44
saved checkpoint at i=1100, val_loss=1.42
saved checkpoint at i=1200, val_loss=1.41
saved checkpoint at i=1300, val_loss=1.41
saved checkpoint at i=1400, val_loss=1.40
saved checkpoint at i=1600, val_loss=1.39
saved checkpoint at i=1700, val_loss=1.38
saved checkpoint at i=1800, val_loss=1.38
saved checkpoint at i=1900, val_loss=1.30
saved checkpoint at i=2000, val_loss=1.28
saved checkpoint at i=2100, val_loss=1.20
saved checkpoint at i=2200, val_loss=1.16
saved checkpoint at i=2300, val_loss=1.14
saved checkpoint at i=2400, val_loss=1.13
saved checkpoint at i=2500, val_loss=1.13
saved checkpoint at i=2600, val_loss=1.13
saved checkpoint at i=2700, val_loss=1.12
saved checkpoint at i=2900, val_loss=1.11
saved checkpoint at i=3200, val_loss=1.11
saved checkpoint at i=3400, val_loss=1.10
